,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
753,You differentiate concepts clearly,You differentiated concepts clearly,"[-0.01100644  2.855839   -0.36354598 ... -2.18101    -0.08120477
  2.9839861 ]","[-0.08215949  1.3085014  -0.1071617  ... -2.5496106   0.5535166
  2.8086634 ]"
754,It merges effortlessly,It merged effortlessly,"[ 0.6826369   1.768493    0.97043705 ... -1.0790579   0.6145925
  1.971608  ]",[ 0.9792264  1.6148707  1.9113783 ... -1.6066351  1.5507628  1.9229118]
755,He separates elements decisively,He separated elements decisively,"[ 1.6031988   1.5492755   0.31246912 ... -1.1705614  -0.6491145
  1.3729476 ]","[ 1.1789358   3.0346093   0.40956837 ... -1.1960684   0.7451407
  1.4991623 ]"
756,She analyzes data meticulously,She analyzed data meticulously,"[-2.062459    2.519311    0.77380955 ... -0.6901943  -3.0725489
  3.4361455 ]",[-1.51875    0.9414823  0.4169978 ... -1.1926835 -1.8552635  3.354583 ]
757,They synthesize information creatively,They synthesized information creatively,[-1.8284935  4.8671346 -0.8776453 ...  1.7596546 -2.033074   1.0294344],"[-1.9002256   4.0930705  -0.4580415  ... -0.06408703 -0.4346475
  0.27058822]"
758,We interpret results accurately,We interpreted results accurately,"[ 0.24386601  3.6028714  -1.1182055  ... -0.71498936 -1.9185233
  2.8560376 ]","[ 2.1320128   1.1060202  -1.2986842  ... -1.482774   -0.17677069
  2.8911302 ]"
759,I evaluate findings objectively,I evaluated findings objectively,"[ 0.8115903   1.9753482  -1.194858   ... -3.0319831  -0.09674313
  2.923466  ]","[ 1.3385106   0.38659704 -1.5358126  ... -2.894988    1.3027154
  3.0536115 ]"
760,You assess situations calmly,You assessed situations calmly,[-1.4166212  5.81251    0.4415617 ... -1.6915016 -2.8694873  3.9407015],"[-1.2056099   4.0132976  -0.39413083 ... -2.514855   -1.2625313
  3.1081915 ]"
761,It functions optimally,It functioned optimally,[ 1.2735075  1.2528065 -1.0760983 ... -1.2211715 -0.6027885  1.0927358],[ 1.5473019  0.9808844 -0.4817087 ... -1.3372376 -0.9265445  1.2259457]
762,He malfunctions intermittently,He malfunctioned intermittently,"[ 1.8326092   2.670294   -0.6314467  ... -0.41119713 -2.664838
  1.2952745 ]",[ 2.220407   2.5665147 -0.6727303 ... -2.5717304 -2.7784424  1.958127 ]
763,She operates flawlessly,She operated flawlessly,[ 1.6269208  2.3188677  0.9018431 ... -1.7148457 -1.3128875  1.3959478],"[ 1.461922    2.787362    0.57773143 ... -2.280769   -0.39727396
  0.9093499 ]"
764,They misoperate rarely,They misoperated rarely,"[ 2.4420538   4.7714367   0.3563738  ...  0.29316598 -1.7803133
  1.8174666 ]","[ 2.9768996   4.502866    0.64570326 ... -1.1609987  -1.1773441
  1.0998542 ]"
765,The project succeeds,The project succeeded,"[ 3.0235806   0.58691365 -0.40935847 ... -0.31005156 -0.31779423
  2.6853106 ]","[ 2.7895412   1.2791533  -0.33729818 ... -0.41393828 -1.2812191
  3.1658754 ]"
766,The plan works perfectly,The plan worked perfectly,[ 2.320473   0.3256211  1.3613772 ... -1.4297247 -0.5894512  0.8742113],[ 2.550792   1.8677399  1.0600152 ... -2.0821056 -0.3010903  1.0241054]
767,The system functions flawlessly,The system functioned flawlessly,"[ 2.5153422   2.2058835  -0.43773523 ... -1.2289072  -1.5990922
  1.8845164 ]","[ 2.240357    1.9721736   0.01387459 ... -1.5844498  -2.1499195
  0.86111706]"
768,The machine operates smoothly,The machine operated smoothly,"[ 3.7684922   3.9884114   2.9194045  ... -1.8849158  -0.19306421
  3.1784663 ]",[ 4.4887314  3.3298337  2.8021476 ... -2.8594787  1.0796318  2.802031 ]
769,The engine runs efficiently,The engine ran efficiently,"[ 1.7069508   3.675778    0.24245258 ... -2.3217487  -2.8269835
  2.4823413 ]","[ 1.1925418   3.1248026   0.18659924 ... -2.6324232  -2.5787618
  1.7048333 ]"
770,The vehicle drives safely,The vehicle drove safely,"[ 1.4008317   2.81151     0.4357916  ... -1.1009675   0.40464348
  3.5750313 ]","[ 0.7191532   1.6386123   0.26223966 ... -1.5801713   0.24943835
  4.2533264 ]"
771,The train travels swiftly,The train traveled swiftly,[ 1.7978336 -0.9964888  2.2281957 ... -2.1353712 -1.5843822  2.8124013],"[ 1.6251192  -0.15036233  2.3294933  ... -2.121261   -0.37549508
  2.89925   ]"
772,The plane flies smoothly,The plane flew smoothly,[ 4.0550394  1.4112608  1.4950187 ... -0.5926175 -1.1334456  2.0908465],"[ 2.9709842   1.7299519   1.4897442  ... -0.710387   -0.04877567
  2.6070402 ]"
773,The ship sails steadily,The ship sailed steadily,"[ 1.095804    0.9416561   2.4500053  ...  0.03516412  0.06343144
 -0.3363064 ]","[ 0.3467713   0.7482255   2.2634373  ...  0.6290153   0.97936374
 -0.53454804]"
774,The boat floats gently,The boat floated gently,"[ 3.0978494   1.1374719   0.43022564 ... -0.6981602  -0.5090877
  1.9095902 ]","[ 3.2342014   0.7718113   0.5424262  ... -0.65869486 -0.28600848
  1.7599685 ]"
775,The car accelerates quickly,The car accelerated quickly,"[ 0.40843195  3.5502892  -0.24256487 ... -1.9769981  -1.4302843
  2.1591215 ]","[-0.27218542  4.189885    0.44509006 ... -0.9406893  -1.1820941
  2.5228555 ]"
776,The bicycle pedals easily,The bicycle pedaled easily,[ 4.285924   2.4911103  1.2184196 ... -0.5396804  0.5436059  3.9656065],"[ 2.9517274   1.3449105  -0.46865353 ... -2.3494747  -0.0765356
  1.7328781 ]"
777,The motorcycle speeds along,The motorcycle sped along,"[ 1.1943619   0.05633095  0.7066952  ... -1.4508204  -0.7790209
  2.8078923 ]","[ 0.80870706 -0.30032384 -0.01664986 ... -0.98557657 -1.0155373
  3.2765305 ]"
778,The scooter zips effortlessly,The scooter zipped effortlessly,"[ 1.7419142  -0.3864567   0.42461497 ... -1.1874014   0.79757386
  3.0061288 ]","[ 1.9160042  -0.23250636  0.64287454 ... -1.2341572   0.81999016
  2.9533122 ]"
779,The skateboard glides smoothly,The skateboard glided smoothly,"[ 2.2621212   0.89700985  1.0512221  ... -2.3764424   1.3652408
  3.8121095 ]",[ 2.3644218  0.7376865  0.7518819 ... -2.135518   1.8948021  3.8372989]
780,The rollerblades roll swiftly,The rollerblades rolled swiftly,"[ 2.8789628  -0.81422013  0.1181362  ... -1.4037498   0.21398129
  2.5469608 ]","[ 2.7272618  -0.5669659   0.09195008 ... -1.3952576   0.33231458
  2.6195447 ]"
781,The skis glide effortlessly,The skis glided effortlessly,"[ 2.525523    1.7427559  -1.3308908  ... -2.842857    0.36769244
  2.9286726 ]",[ 2.5089245  1.9226766 -1.2846113 ... -2.8755121  1.1128598  3.5807273]
782,The snowboarder carves expertly,The snowboarder carved expertly,"[-0.31250912 -1.8194864  -0.5501463  ... -1.7859945   0.6108048
  2.616917  ]","[-0.2558054  -2.5844817  -0.43492788 ... -2.0611546   1.1662533
  2.056851  ]"
783,The ice skater spins gracefully,The ice skater spun gracefully,[ 2.1447952  1.3548592 -2.6175175 ... -1.4612131 -3.053758   2.4741538],[ 1.972341   1.0586675 -2.392133  ... -1.5444946 -2.7669191  2.5781221]
784,The swimmer swims powerfully,The swimmer swam powerfully,"[-0.41440845  1.6657423  -2.4244592  ... -0.29254904 -3.1317294
  3.250068  ]","[-0.47393206  2.0285428  -1.883892   ... -0.6581262  -3.2713602
  3.1106663 ]"
785,The diver descends smoothly,The diver descended smoothly,"[ 3.7240608   3.116212   -0.49103084 ... -0.82814723 -1.6505375
  1.2553782 ]","[ 3.0474374   2.5175397  -0.40686253 ... -1.3038225  -1.6361877
  1.5636683 ]"
786,The surfer rides waves expertly,The surfer rode waves expertly,"[-0.23547684  2.0113657   1.0583864  ... -0.68001527  0.10287166
  3.6782186 ]","[-0.57315415  0.88645774  0.5546042  ... -1.4574648   0.97794586
  2.805762  ]"
787,The windsurfer sails skillfully,The windsurfer sailed skillfully,"[ 2.345131   -0.17282741 -0.12332613 ... -0.3456324  -1.6866833
 -0.00493819]","[ 2.2855177  -0.17752092 -0.337166   ... -0.99213856 -0.9797129
 -0.10470556]"
788,The kitesurfer soars high above,The kitesurfer soared high above,"[ 2.7654934   0.464572    1.3657334  ...  0.21001118 -1.0859545
  1.3128505 ]","[ 3.1933835   0.04911464  1.1910083  ...  0.2732705  -0.6800206
  1.5026144 ]"
789,The kayaker paddles rhythmically,The kayaker paddled rhythmically,[ 1.5667771  1.1999649 -0.4476504 ... -1.8990383 -0.7460025  2.0492415],"[ 1.7527943   0.4619768  -0.7567096  ... -1.7428722  -0.48343778
  1.8387825 ]"
790,The canoeist navigates skillfully,The canoeist navigated skillfully,"[ 0.90345234  0.64944065 -0.4645976  ... -2.590962   -0.5035178
  1.485285  ]","[ 1.1751448   0.57590204 -0.22033902 ... -2.5983012   0.04473036
  1.7015628 ]"
791,The rower pulls powerfully,The rower pulled powerfully,"[-0.20987876  3.0589364   2.1434724  ... -0.56034046 -0.5475413
  2.7104542 ]","[-0.9233308   2.1775765   1.3408895  ... -0.37154874 -0.4925333
  2.6063519 ]"
792,The sailboat glides silently,The sailboat glided silently,[ 2.9330504  0.563293   1.8646544 ... -0.9473658 -1.3684702  1.2134835],"[ 2.951949    0.372169    2.117604   ... -0.99274206 -1.0790743
  1.121488  ]"
793,The motorboat speeds rapidly,The motorboat sped rapidly,"[ 2.6663923   1.5528786   0.49076757 ... -1.6179489  -1.5710051
  2.3120236 ]",[ 2.5637333  1.1255449 -0.1896267 ... -1.5562366 -1.3330841  2.3401444]
794,The submarine dives deep,The submarine dived deep,[-1.2474787  3.0434222  1.5653069 ...  0.3042409 -2.955824   1.9830868],[-1.8269844  3.2773807  2.171334  ...  0.8607774 -2.9907107  1.2380934]
795,The helicopter ascends smoothly,The helicopter ascended smoothly,"[ 4.12861     2.9598782   1.5718634  ...  0.15617618 -2.6110392
  1.1679922 ]",[ 3.8594925  2.0410514  1.5635574 ...  0.198204  -2.4661927  1.2308763]
796,The airplane takes off smoothly,The airplane took off smoothly,"[ 1.2500937   3.2824764   2.976925   ... -0.52394617 -0.49306172
  1.9162089 ]","[ 0.31461608  3.3679955   2.4156632  ...  0.08787541 -1.1951523
  2.4825597 ]"
797,The hot air balloon lifts gently,The hot air balloon lifted gently,"[ 3.2339904   1.1215209   2.7347822  ... -0.00760887 -3.0749805
  3.4383612 ]","[ 2.856203    1.0692029   3.1915874  ...  0.36227393 -3.3249576
  3.2206488 ]"
798,The blimp floats lazily,The blimp floated lazily,"[ 2.4186022  -1.5845197  -0.2481607  ... -0.31610546 -2.612807
  0.9784579 ]","[ 2.1118999  -1.8071594  -0.5273978  ... -0.17027217 -2.7659962
  0.89597946]"
799,The rocket launches successfully,The rocket launched successfully,"[ 0.744987    5.562389    3.465221   ... -0.59782845 -2.9840665
  3.9788089 ]","[ 0.50222695  5.8947372   3.5504088  ... -1.0300789  -3.2864635
  3.4247994 ]"
800,The satellite orbits Earth,The satellite orbited Earth,"[ 0.56488836  0.33083624  3.08911    ...  0.01844233 -5.7841063
  4.510577  ]",[-0.3355789  1.0823305  3.6756425 ... -0.3726746 -4.6094527  4.550662 ]
801,The sun rises in the east,The sun rose in the east,"[-0.06471189  3.4390707   1.4597982  ...  1.8943118  -2.7785273
  4.141143  ]","[-0.09048095  2.139127    1.6382412  ...  1.1099137  -3.2582347
  4.1535525 ]"
802,The moon sets in the west,The moon set in the west,"[-0.48384532 -1.1079427   2.5513835  ...  0.3254168  -1.3275559
  2.2219164 ]","[ 0.44736552 -1.2696875   2.945159   ... -0.39595735 -0.68004346
  2.5517585 ]"
803,The stars appear brilliantly,The stars appeared brilliantly,[-0.6115951 -1.1669661 -0.6979901 ... -0.4857649 -3.9126253  1.2160962],"[-0.32292002 -0.80608815 -0.72005105 ... -0.6164334  -3.6095004
  1.5091106 ]"
804,The clouds gather ominously,The clouds gathered ominously,"[ 0.19404988 -0.73403543 -0.6820154  ... -0.7500819  -3.519416
  0.88578796]","[ 0.43015832 -0.93488276 -0.7002141  ... -1.1202233  -3.3953831
  0.43604726]"
805,The rain falls heavily,The rain fell heavily,"[ 1.394798    2.273322    0.72535664 ... -0.9938758  -3.9557004
  1.6556568 ]","[ 0.94015306  1.7405676   0.08910471 ... -0.9275052  -4.6650944
  1.8090129 ]"
806,The snow falls softly,The snow fell softly,"[ 2.276114    0.00902045 -2.5174034  ... -3.1201901  -2.0087032
  1.4128009 ]",[ 1.6130633 -1.1609118 -3.1430285 ... -3.2318904 -2.1426928  2.0575159]
807,The wind howls fiercely,The wind howled fiercely,"[ 0.52817374  2.1194305  -3.0359855  ... -0.5304059  -1.1205511
  0.30928344]","[ 0.44473523  2.0436335  -2.8985436  ...  0.03551726 -0.79518735
  0.52590054]"
808,The leaves fall rapidly,The leaves fell rapidly,[ 2.6260724 -1.8198217 -1.1338613 ... -2.2305636 -3.1993814  1.6611758],[ 2.4003284 -2.1522822 -1.0849535 ... -2.3203416 -2.546198   2.100324 ]
809,The flowers wilt sadly,The flowers wilted sadly,[ 4.0965614  1.705778  -1.4317482 ...  0.438445  -2.8602986  1.0345457],"[ 4.192137    1.2310276  -1.7824419  ... -0.06806622 -3.0632694
  0.8528471 ]"
810,The trees grow slowly,The trees grew slowly,"[ 0.7641452   0.13192347 -0.00506626 ... -1.7623823  -2.586472
  1.5480486 ]","[ 0.6609636   0.22848192 -0.0135119  ... -1.8271261  -1.6641262
  1.2770482 ]"
811,The grass dries quickly,The grass dried quickly,"[ 3.9433646   0.5312866   2.575268   ... -0.37096334 -3.7898338
  3.0699573 ]","[ 4.0976534  -0.42405117  1.1688004  ... -0.5185612  -1.9220637
  2.6610425 ]"
812,The birds fly south for winter,The birds flew south for winter,"[ 1.0428344   1.4464378  -1.7716564  ... -3.500695    0.20641284
  2.1613448 ]",[ 0.9556813  1.3678318 -0.7716519 ... -3.6209717  1.3290529  2.1903195]
813,The bees collect pollen diligently,The bees collected pollen diligently,"[ 2.5069344   2.401793    1.4000403  ...  0.18504359 -1.6242489
  0.57168293]","[ 1.5288734   1.5402601   1.5760107  ... -1.1126411  -0.03215446
 -0.01828494]"
814,The butterflies flutter delicately,The butterflies fluttered delicately,[ 2.0455105 -1.116607  -2.725678  ... -1.3001926 -2.9269447  2.1184542],[ 1.9176985 -1.1652015 -2.7549496 ... -1.090343  -2.4051278  1.9147388]
815,The ants work tirelessly,The ants worked tirelessly,[ 4.2032604 -0.8938743  1.6131533 ... -2.049021  -2.9130208  2.0611722],"[ 3.3879075  -0.18923634  0.9893265  ... -2.2443366  -2.5690837
  1.9334544 ]"
816,The spiders build webs patiently,The spiders built webs patiently,"[ 5.0003448   1.3611205  -0.11632106 ... -0.7073806  -3.4032612
  1.8631176 ]","[ 5.0899153   1.1117172   0.29226953 ... -1.025316   -2.2905562
  1.837478  ]"
817,The frogs sing loudly,The frogs sang loudly,"[-0.05155051  2.015533   -0.15458685 ... -2.308129   -4.198761
  1.6109583 ]","[-0.20102763  2.1870794  -0.7958966  ... -2.5697556  -3.698302
  1.5933667 ]"
818,The snakes slither silently,The snakes slithered silently,"[ 1.6003125  -0.2213376   0.19987628 ... -1.0958726  -1.3922459
  3.5319011 ]","[ 1.2643541  -0.26960644  0.63926965 ... -1.1185503  -1.0290464
  3.2091541 ]"
819,The lizards sun themselves lazily,The lizards sunned themselves lazily,"[-1.1094819  -1.2083389   0.77382076 ...  0.5608308  -2.1927998
  3.3554099 ]",[-1.6135864 -0.781058   0.7222744 ...  0.477127  -1.431838   3.0763316]
820,The turtles bask in the sun,The turtles basked in the sun,"[-1.110437    0.7353731   0.16973303 ... -0.78617483 -2.2378721
  4.323646  ]",[-1.3796103  1.2481815  0.750964  ... -1.258991  -2.7045593  4.011761 ]
821,The fish leap playfully,The fish leaped playfully,"[ 0.33551204 -0.02213585  1.6469002  ... -0.6924188  -2.4710393
  5.1256914 ]","[-0.18912645  1.1815376   1.8234054  ... -1.2682266  -1.053674
  3.5886686 ]"
822,The whales communicate through song,The whales communicated through song,"[ 0.50839144  5.6237173   4.66104    ... -0.7495096  -3.466928
 -1.127327  ]","[ 1.0353625   5.3439445   4.8460283  ... -0.87509185 -1.8425293
 -0.52115804]"
823,The dolphins swim gracefully,The dolphins swam gracefully,[ 1.6499171  1.8871052 -2.2135735 ... -1.634572  -3.594682   1.1995947],"[ 0.753183    0.34616846 -1.3754461  ... -1.7997558  -2.9291291
  0.4421792 ]"
824,The sharks hunt aggressively,The sharks hunted aggressively,"[ 0.10540599  0.74091727  1.613908   ... -2.3594742  -3.0269504
  2.8975866 ]","[ 0.36331344  1.2102559   1.3563771  ... -2.3332782  -2.085065
  2.2798479 ]"
825,The jellyfish pulse gently,The jellyfish pulsed gently,"[ 0.20790498  2.4218662   3.4562078  ...  0.92127645 -3.619484
  2.1779644 ]","[ 0.583366    2.9903429   1.8748016  ... -0.22218491 -3.3403265
  1.5767531 ]"
826,The crabs crawl sideways,The crabs crawled sideways,"[ 2.0528636   0.45069176  1.2569088  ...  0.5878549  -0.7111778
  1.0628569 ]","[ 2.290484    0.40689903  1.1922436  ...  0.258114   -0.01720771
  1.0554621 ]"
827,The seagulls search for food,The seagulls searched for food,"[ 1.0738838   2.1930652   2.0768356  ... -0.99593216 -1.4170793
  0.6597096 ]","[ 1.0641603   2.2491753   1.6683193  ... -1.1102669  -1.0488093
  0.66166484]"
828,He plays the guitar,He played the guitar,"[-0.07782885  5.170358   -1.1624905  ... -1.4875083  -2.2266738
  3.6553755 ]","[-0.21527958  4.227027   -0.7229544  ... -0.6201034  -1.1507332
  4.340361  ]"
829,She sings opera arias,She sang opera arias,"[-0.32469574  3.8538857   0.68631846 ... -0.54645455 -5.566935
  3.4550464 ]","[-1.1653249   2.3882985   0.12451132 ... -0.4352519  -3.7165608
  3.6239026 ]"
830,They dance the tango,They danced the tango,[-0.2718297 -1.0885755 -0.6786089 ...  1.4998333 -2.9581592  3.5417972],"[ 0.76730824 -1.9556919  -1.1803483  ...  0.8173326  -1.7892921
  3.0187519 ]"
831,We perform on stage,We performed on stage,"[-2.7334123  -0.18726462  0.23354161 ...  0.40047926 -1.8391364
  2.5432909 ]","[-2.2588456  -0.5452169   0.11840759 ... -0.37282708 -2.3081052
  2.1150086 ]"
832,I act convincingly,I acted convincingly,[ 1.902594   4.0421724 -0.5920625 ... -2.1206443 -1.5673091  2.2454972],[ 1.4370229  3.8382688 -1.3170047 ... -3.2779896 -0.7697196  1.7266899]
833,You direct skillfully,You directed skillfully,"[-0.28402427  4.5365725  -0.9059944  ... -0.21837236  1.6959442
  2.4861565 ]","[-0.94125473  3.3269644  -0.3065628  ... -1.616944    1.9259933
  2.3871317 ]"
834,It plays beautifully,It played beautifully,"[-0.49077988  3.2362506  -0.32566997 ... -3.5353363   0.34538695
  2.4628112 ]","[-0.34447002  1.9167167  -0.34419963 ... -3.6277683   0.36205077
  3.0924838 ]"
835,He conducts masterfully,He conducted masterfully,"[-2.7069006   3.2817538   1.8291705  ... -0.29232606 -0.9289838
  2.8792982 ]","[-3.8509676   3.3550801   1.1344466  ... -0.9293627  -0.15337884
  2.5314512 ]"
836,She composes elegantly,She composed elegantly,"[ 1.2065907   1.8568207  -0.93727076 ... -2.4398148  -1.3122227
  2.5471394 ]","[ 0.4832071   1.5583314  -0.6161059  ... -3.5764618  -0.98465955
  4.230508  ]"
837,They orchestrate expertly,They orchestrated expertly,"[-2.0257976   2.9156241   0.7465306  ... -0.47441563 -0.41085416
  2.8439186 ]","[-2.2830386   3.562377    0.02600457 ... -0.5970895   0.48274368
  2.5376277 ]"
838,We arrange meticulously,We arranged meticulously,"[ 0.72826487  0.21239471  0.937778   ... -0.5913685  -0.4629281
  2.4919112 ]","[-0.21188219  0.05788739  1.579363   ... -1.0156194  -0.46930614
  1.9550301 ]"
839,I improvise creatively,I improvised creatively,"[-0.24442172 -0.45574832 -0.15908203 ... -1.1409539   0.35321763
  2.0383928 ]","[-1.7915916  -0.56715274 -1.0888901  ... -1.0529099   0.8933813
  1.6326791 ]"
840,You compose skillfully,You composed skillfully,"[-0.45379204  2.8673801  -1.050539   ... -1.4827683   1.0959766
  2.0729256 ]","[-1.3411815   2.386747   -0.89388585 ... -2.661078    0.9137267
  2.070442  ]"
841,It sounds harmonious,It sounded harmonious,"[-1.1370832   0.94123393  2.0370643  ... -0.7814603  -0.02521569
  2.1585555 ]","[-1.1757591   1.5070584   1.651966   ... -0.91458607  0.72681314
  1.9269384 ]"
842,He sings passionately,He sang passionately,"[-1.2075251   4.781385    0.12616633 ... -1.9934059  -2.7328112
  1.8409413 ]","[-1.4413131   4.288872   -0.30178046 ... -2.1318398  -1.222601
  1.7339964 ]"
843,She plays expressively,She played expressively,"[ 0.4870125   3.5130491   0.24261473 ... -2.5188031  -3.5642858
  4.3229733 ]","[-0.2784782   2.6712987  -0.02272196 ... -2.1258593  -1.9102706
  4.403088  ]"
844,They perform enthusiastically,They performed enthusiastically,"[-0.84666866  2.1340349  -0.52433044 ... -1.5782655  -1.5840946
  2.8150814 ]","[-1.2671591   2.3628237  -0.94127464 ... -2.1808465  -1.2810801
  2.6199715 ]"
845,We rehearse diligently,We rehearsed diligently,"[-1.4808851   0.39513582  0.15617351 ... -0.9785568  -3.776424
  2.710882  ]","[-0.93320304 -0.21783662  0.38139057 ... -1.5624745  -3.3711486
  2.8441515 ]"
846,I practice consistently,I practiced consistently,"[ 1.3209018   2.2567644   0.68462414 ... -0.73425627 -0.59316707
  3.2840357 ]","[ 0.35316905  2.3427029   0.49986765 ... -1.2368306  -0.18721859
  3.525214  ]"
847,You perform flawlessly,You performed flawlessly,"[ 0.04527506  5.4554796  -0.58447427 ... -2.3588045   0.3320071
  1.6385243 ]","[-0.04114098  4.363317   -1.0162241  ... -3.4074063   1.0007634
  1.2456807 ]"
848,It resonates deeply,It resonated deeply,"[ 0.3428383   3.3598819  -0.12320626 ...  0.7232404  -4.574361
  1.6128476 ]","[ 0.2386527   3.022664   -0.08996928 ...  0.63694346 -4.293599
  1.3083837 ]"
849,He creates beautiful music,He created beautiful music,"[-0.9107779   2.5631275  -0.35930112 ... -0.6066313   1.5625495
  1.9308016 ]",[-0.6376512  3.233337  -0.5284399 ... -1.2721422  2.0213478  1.04896  ]
850,She expresses emotions vividly,She expressed emotions vividly,[-0.5424151  4.5406466  1.6804085 ... -1.1956875 -4.570153   1.8074925],[-1.1310452  2.4807255  2.1285198 ... -2.4814014 -2.4815564  2.0469515]
851,They convey feelings powerfully,They conveyed feelings powerfully,[-1.2970835  5.944272   0.5633964 ... -1.1788774 -2.624017   1.2691762],"[-0.9952091   4.4485207   0.74580115 ... -1.0855396  -1.866615
  1.7040942 ]"
852,We experience profound emotions,We experienced profound emotions,"[-3.2346754   2.8685288   1.0674841  ...  0.75985074 -1.4226297
  1.7328492 ]","[-3.5528212   1.9081833   0.6857258  ... -0.06592059 -0.56604
  1.3203902 ]"
853,I appreciate artistic expression,I appreciated artistic expression,"[-3.2332735   1.082734    0.17681175 ... -2.6157465  -0.6905389
  1.3724084 ]","[-1.6996833   0.27022493 -0.15957981 ... -2.8842704   0.18679945
  2.06255   ]"
854,You understand musical nuances,You understood musical nuances,"[-2.1032374   3.2342148   0.78189194 ... -1.2069862  -1.6923118
  0.7351112 ]",[-1.5928054  4.0500374  1.5006288 ... -1.9258087 -1.191846   1.4713658]
855,It inspires profound thoughts,It inspired profound thoughts,"[-3.3872194   4.470223    0.42847252 ... -0.08451675  0.11988902
  0.34630278]","[-2.7961512   2.6949687   0.03024185 ... -0.42972773  0.24485287
  0.85243493]"
856,He evokes powerful memories,He evoked powerful memories,"[-2.4787      2.3555055   0.42835253 ... -0.6581496  -1.4297513
  0.92737025]","[-2.88824     3.073896    0.33434317 ... -1.1458547  -0.6804156
  1.0613453 ]"
857,She stimulates creativity,She stimulated creativity,"[-2.5590103   6.6922398   0.46123847 ...  0.7745404  -0.02720543
  1.6971112 ]","[-1.9533291   5.6358666  -0.1383106  ...  0.5940948   0.10114519
  1.6349721 ]"
858,They capture imaginations,They captured imaginations,[-1.4793718  4.2444916  1.2230952 ... -0.4245656 -2.6422467  2.7320943],[-1.4720576  4.9071856  1.2684052 ... -0.5157227 -1.1837244  3.1987422]
859,We share emotions universally,We shared emotions universally,[-1.5921452  4.565387   1.0048975 ... -1.8114079 -3.3074477  1.8052565],"[-1.3260415   2.3804097   0.60340905 ... -2.039131   -2.8965387
  1.5996246 ]"
860,I connect with audiences deeply,I connected with audiences deeply,"[ 0.24195623  3.5707173   2.170752   ... -0.46369228 -3.0087852
  2.9460235 ]","[-0.6796402   2.0015032   1.3043561  ... -0.87326753 -2.0346117
  2.9147823 ]"
861,You engage listeners actively,You engaged listeners actively,[-1.9703805  4.3014374  0.7852381 ... -2.2604887 -0.2077958  3.1396708],[-1.9202628  3.7966385  0.9242176 ... -2.8066616  1.2702043  2.9450104]
862,It moves people emotionally,It moved people emotionally,"[ 0.18792611  5.005903    2.7463017  ... -1.4554143  -1.1354141
  1.929309  ]","[-0.01780725  3.5318608   3.221423   ... -1.5632747  -0.6418662
  2.3907688 ]"
863,He inspires listeners profoundly,He inspired listeners profoundly,"[-1.9942828   6.3020897   0.16953024 ... -0.93258995 -0.02447253
  1.9381783 ]","[-2.0611029   5.017541   -0.36183462 ... -1.3359532   0.49402136
  1.4825293 ]"
864,She communicates effectively,She communicated effectively,"[-0.19299813  6.7774262   2.15139    ... -0.32764626 -4.9872556
  4.1887126 ]","[-0.18631308  6.3501816   2.3319914  ... -0.95976925 -3.8877614
  3.498395  ]"
865,They entertain brilliantly,They entertained brilliantly,"[-2.9881132   2.0366101   0.35295916 ... -2.8989937  -1.3158315
  4.344999  ]","[-1.9488424  -0.10353374 -0.2591006  ... -2.389054   -0.6128268
  4.770371  ]"
866,We enchant audiences effortlessly,We enchanted audiences effortlessly,"[-1.0017958   2.0750046  -0.62343836 ... -1.4787785  -1.7658013
  3.7210622 ]","[-0.4746673  -0.12425011  0.0106079  ... -1.8342712   0.34486324
  2.7633429 ]"
867,I captivate listeners completely,I captivated listeners completely,[-0.6291352  3.688146   1.4944748 ... -0.0995685  1.0913323  2.9975612],"[-0.22384015  1.9435499   1.5441036  ... -0.4233776   2.1045933
  3.4201138 ]"
868,You mesmerize viewers totally,You mesmerized viewers totally,"[-3.0431213   2.821133    0.82526714 ... -0.5167883   1.2379295
  3.222528  ]","[-2.704354    1.7798488   0.35195106 ... -0.8958807   2.171656
  3.1212566 ]"
869,It thrills audiences immensely,It thrilled audiences immensely,"[-2.4570718   2.142132    0.4395277  ... -0.43829927  0.02603135
  3.2735665 ]","[-1.6963491   1.0309422   0.67720616 ... -0.72463924  0.09159386
  3.4204092 ]"
870,He excites viewers intensely,He excited viewers intensely,[-1.2958635  3.3858695 -0.0497083 ... -0.6997477  1.1006503  3.6654365],"[-0.82281256  1.4692674   0.13887921 ... -1.7957423   2.175726
  4.714037  ]"
871,She delights listeners immensely,She delighted listeners immensely,"[-0.6607213   1.8168807   0.8007779  ... -0.42087004 -0.07714891
  3.7683282 ]","[-0.57995987  0.13312052  0.88755924 ... -0.65305877  0.53637284
  3.8345249 ]"
872,They astound spectators greatly,They astounded spectators greatly,[-2.512504   1.8841655  0.8697182 ... -1.1549737 -2.0314846  4.2445836],"[-2.3850174   1.6989317   0.8947474  ... -0.8052481  -0.97595215
  4.646484  ]"
873,We amaze critics completely,We amazed critics completely,"[-1.9287008   3.0304704   0.56084704 ... -0.67491066 -0.2227849
  3.1616066 ]",[-1.3372707  2.2970138 -0.4678668 ... -1.3745108  2.0580876  3.4892194]
874,I impress judges significantly,I impressed judges significantly,"[ 1.2917625   3.9444022  -0.50928694 ... -1.6026917   0.23291057
  2.8972116 ]",[ 1.1637686  2.2084644 -0.6832226 ... -1.8205009  0.8958684  3.7642913]
